"cod_prd_ref";"note_ref";"Indicateur_moyen_Brut";"PourcNote";"PourcNoteCohorte";"PourcNoteCohorte5"
"        2020T1";3;0,837745108;0,0105253039842361;0,0505773672055427;0,0978989718372821
"        2020T1";4;0,730510977;0,00867944311760937;0,0344110854503464;0,0666070630308449
"        2020T1";5;0,997511202;0,0116659286760448;0,158198614318707;0,306213679034421
"        2020T1";6;1,05;0,0143236473631623;0,48337182448037;0
"        2020T2";1;0,237695465;0,0134810710987996;0,102730087250211;0,192004208311415
"        2020T2";2;0,449452783;0,013011230305062;0,174781874472277;0,326670173592846
"        2020T2";3;0,789724056;0,00841063103763157;0,0492541514213341;0,0920568122041031
"        2020T2";4;0,669275429;0,00908720219024873;0,0439065578384464;0,0820620725933719
"        2020T2";5;1,047785737;0,00994584284205865;0,164368139600338;0,307206733298264
"        2020T2";6;1,05;0,0113056213301214;0,464959189417394;0
"        2020T3";1;0,242723169;0,00938134810710988;0,0890915468256752;0,179251940719831
"        2020T3";2;0,449825172;0,010769359704995;0,180287618379516;0,362738179251941
"        2020T3";3;0,602846491;0,00725717306675638;0,0529638723254998;0,106563161609033
"        2020T3";4;0,913823571;0,00693190423486923;0,0417397404419502;0,0839802399435427
"        2020T3";5;0,971533082;0,00645457951565108;0,132935811995791;0,267466478475653
"        2020T3";6;1,05;0,00981371730471798;0,502981410031568;0
"        2020T4";1;0,158991874;0,0102308402585411;0,0880483153210426;0,182476943346509
"        2020T4";2;0,211001436;0,0106855514582635;0,162110616656071;0,33596837944664
"        2020T4";3;0,481743758;0,00759359830826164;0,0502225047679593;0,104084321475626
"        2020T4";4;0,733552367;0,00786392497233063;0,0429116338207247;0,0889328063241107
"        2020T4";5;0,915605099;0,00745938213154399;0,139224411951685;0,288537549407115
"        2020T4";6;1,05;0,0111413750153981;0,517482517482518;0
"        2021T1";1;-0,00514579;0,00867959372114497;0,0811183983431136;0,165960451977401
"        2021T1";2;0,294386133;0,0109998323835065;0,181221953745254;0,370762711864407
"        2021T1";3;0,532109777;0,00658432258374585;0,0472903003106662;0,0967514124293785
"        2021T1";4;0,722350283;0,00605813479349916;0,0358992060752503;0,0734463276836158
"        2021T1";5;0,896417006;0,00706767941687387;0,143251639627201;0,293079096045198
"        2021T1";6;1,05;0,0101353663377178;0,511218501898516;0
"        2021T2";1;0,286277346;0,00941828254847645;0,0927272727272727;0,175862068965517
"        2021T2";2;0,308043014;0,011733154542407;0,203636363636364;0,386206896551724
"        2021T2";3;0,720762374;0,00591147210073533;0,0447272727272727;0,0848275862068966
"        2021T2";4;0,425114348;0,00512611405603775;0,032;0,0606896551724138
"        2021T2";5;0,890381925;0,00722095439217957;0,154181818181818;0,292413793103448
"        2021T2";6;1,05;0,00889667538084614;0,472727272727273;0
"        2021T3";1;0,142957522;0,0094921514312096;0,0856952317439146;0,161027568922306
"        2021T3";2;0,398148164;0,0106855514582635;0,170056685561854;0,319548872180451
"        2021T3";3;0,687864896;0,00696880857403758;0,0483494498166055;0,0908521303258145
"        2021T3";4;0,782736544;0,00832993534106134;0,0476825608536179;0,0895989974937343
"        2021T3";5;0,951698869;0,00921352907115365;0,180393464488163;0,338972431077694
"        2021T3";6;1,05;0,00960156581486703;0,467822607535845;0
"        2021T4";1;0,288925701;0,0121883656509695;0,0925666199158485;0,174695606140815
"        2021T4";2;0,401408471;0,0126550452564532;0,169424964936886;0,319745897300159
"        2021T4";3;0,734982281;0,00773778055462104;0,0451612903225806;0,0852302805717311
"        2021T4";4;0,98949983;0,00763091978796528;0,0367461430575035;0,069348861831657
"        2021T4";5;1,012555957;0,0112912565141864;0,185974754558205;0,350979354155638
